Part SLB 101706021 AC: Engineering Bill of Materials,,,,,,,,,,,,,,
, , , , , , , , , , , , ,EBOM Values,Specification Values
Level,Name,Type,Rev,Description,State,U of M,Qty,Item Number,Product Line,General Notes,Legacy Item Number,Project,Usage,Document Usage
1,101706021,Part SLB,AC,"7 X 4.000 QUANTUM MAX (32-35), SUPER 13CR (110), AFLAS (90-80-90), 4.937-6 STUB ACME",Released,EA - Each,,,CPE7,,,CPS_COMPLETIONS,,
2,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,STAMP AT ID MARKER,,CPS_QA2,,Reference Document
2,100129310,Instruction-Procedure,AE,"PROCEDURE, QUANTUM MAX PACKER ASSEMBLY",Released,,0.0,,CPED,ASSEMBLY PROCEDURE,,CPS_COMPLETIONS,,Reference Document
2,100431590D,ProE Drawing,AD,7 X 4.000 QMAX (32-35) AFLAS,Released,,0.0,,CPH6,,,CPS_COMPLETIONS,,Described By
2,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,0.0,,CSAD,ENTIRE PART,,MatEng,,Reference Document
2,44661-925-00001,Part SLB,AC,"4.000 IN BORE, PACKER SEAL TEST FIXTURE, 4.937-6 STUB ACME",Released,EA - Each,0.0,,CPE6,QTY. 1 NEEDED FOR FAT,,CPS_COMPLETIONS,Mfg Equipment Process,
3,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,0.0,,CSAD,ENTIRE PART,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,101286095D,ProE Drawing,AA,"4.000 IN BORE, PACKER SEAL TEST FIXTURE, 4.937-6 STUB ACME",Released,,0.0,,CSED,,,CEPU-CC GENERAL,,Described By
3,101283748,Part SLB,AA,"PISTON, LOWER, PACKER SEAL TEST FIXTURE, 4.000 IN BORE, 4140/4145 (110)",Released,EA - Each,1,0001,CSE6,,1,CEPU-CC GENERAL,Uses,
4,101283748D,ProE Drawing,AA,"PISTON, LOWER, PACKER SEAL TEST FIXTURE, 4.000 IN BORE",Released,,0.0,,CSED,,,CEPU-CC GENERAL,,Described By
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
4,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,"ENTIRE PART, MASK THREADS AND O-RING GROOVE",,OFS_COATINGS,,Reference Document
4,MDS-204,Material Specification List,AG,"MDS-204, 4140/4145, 110 KSI",Released,,0.0,,CSA5,MATERIAL SPECIFICATION,,MatEng,,Reference Document
4,CSP-134,Coating Specifications,AH,"Phosphating, Buffing (Polishing) and Oiling of Components",Released,,0.0,,CXXD,"COAT ENTIRE PART PRIOR TO CSP-70, BUFF WHERE FLAGGED",,MatEng,,Reference Document
4,NDE-22,Instruction-Procedure,BA,NDE-22; CONTINUOUS WET FLORESCENT MAGNETIC PARTICLE INSPECTION,Released,,0.0,,CPHD,"ENTIRE PART, PRIOR TO COATING",,CPS_QANDE,,Reference Document
3,101283756,Part SLB,AA,"PISTON, UPPER, PACKER SEAL TEST FIXTURE, 4.000 IN BORE, 4140/4145 (110)",Released,EA - Each,1,0002,CSE6,,2,CEPU-CC GENERAL,Uses,
4,101283756D,ProE Drawing,AA,"PISTON, UPPER, PACKER SEAL TEST FIXTURE, 4.000 IN BORE",Released,,0.0,,CSED,,,CEPU-CC GENERAL,,Described By
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
4,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,"ENTIRE PART, MASK THREADS AND O-RING GROOVE",,OFS_COATINGS,,Reference Document
4,MDS-204,Material Specification List,AG,"MDS-204, 4140/4145, 110 KSI",Released,,0.0,,CSA5,MATERIAL SPECIFICATION,,MatEng,,Reference Document
4,CSP-134,Coating Specifications,AH,"Phosphating, Buffing (Polishing) and Oiling of Components",Released,,0.0,,CXXD,"COAT ENTIRE PART PRIOR TO CSP-70, BUFF WHERE FLAGGED",,MatEng,,Reference Document
4,NDE-22,Instruction-Procedure,BA,NDE-22; CONTINUOUS WET FLORESCENT MAGNETIC PARTICLE INSPECTION,Released,,0.0,,CPHD,"ENTIRE PART, PRIOR TO COATING",,CPS_QANDE,,Reference Document
3,44661-929-00001,Part SLB,AF,"ROD, PACKER SEAL TEST FIXTURE, 1.000 DIA, 4130/4140/4145 (110)",Released,EA - Each,1,0003,CSE6,,3,CPS_COMPLETIONS,Uses,
