Level,Name,Type,Rev,Description,State,U of M,Qty,Item Number,Product Line,General Notes,Legacy Item Number,Project,Usage,Document Usage,parent_name
1,103118246,Part SLB,AA,"7 X 3-1/2 BluePack-MP-SPR (23-26), 718 (120), AFLAS (90-80-90), 3-1/2 (9.2) VAM TOP",Review,EA - Each,,,CP87,,,HV Completions - CPU,,,0
2,102933679,Report Document,AA,"TEMPLATE, HYDRO TEST PLAN/REPORT FOR BLUEPACK-MP PACKERS",Released,,"=""0.0""",,CPVD,HYDRO TEST DOCUMENT,,CPS_COMPLETIONS,,Reference Document,103118246
2,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,103118246
2,102933869,Instruction-Procedure,AA,ASSEMBLY CHECKLIST PN 102931785,Released,,"=""0.0""",,CP8D,ASSEMBLY CHECKLIST,,CPS_COMPLETIONS,,Reference Document,103118246
2,102929140,ProE Drawing,AA,7 X 3-1/2  BluePack MP (23-26),Released,,"=""0.0""",,CP8D,,,CPS_COMPLETIONS,,Described By,103118246
2,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,"=""0.0""",,CSAD,ENTIRE PART,,MatEng,,Reference Document,103118246
2,102811316,Instruction-Procedure,AB,"ASSEMBLY PROCEDURE, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Reference Document,103118246
2,103127481,Part SLB,AA,"MANDREL, 7 X 3-1/2 BluePack MP (23-32), 718 (120), 3-1/2 (9.2) VAM TOP, 8 X 1/4 NPT",Review,EA - Each,1.0,"=""0001""",CP86,,,HV Completions - CPU,Uses,,103118246
3,CSP-83,Coating Specifications,BC,Connection Coatings For CAM-P And Premium Threads,Released,,"=""0.0""",,CXXD,"FLAG 83, PREMIUM THREADS ONLY",,MatEng,,Reference Document,103127481
3,102927988,ProE Drawing,AB,"MANDREL, 7 X 3-1/2 BluePack MP (23-32), 8 X 1/4 NPT",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,103127481
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,103127481
3,MDS-34,Material Specification List,AK,"718, 120 KSI MIN YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,103127481
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,"=""0.0""",,CSAD,"FLAG 70, STUB ACME THREAD AND 63 FINISH WHERE FLAGGED, OVERSPRAY ALLOWED",,OFS_COATINGS,,Reference Document,103127481
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,103127481
3,100261623,Part SLB,AC,"LINE, CONTROL, 1/4 OD X 96 L",Released,EA - Each,"=""0.0""",8001,CPH6,1/4 CONTROL LINE,,CPS_COMPLETIONS,Mfg Equipment Process,,103127481
4,100049210D,ProE Drawing,AE,"LINE, CONTROL",Released,,"=""0.0""",,CPHD,,,CPS_COMPLETIONS,,Described By,100261623
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG & TAG,,CPS_QA2,,Reference Document,100261623
3,87808-700-00005,Part SLB,"=""01""","BAR, DRIFT, 2.867 X 42.0 L, 4130 (80)",Released,EA - Each,"=""0.0""",8002,CPA6,"QTY 1.0, DRIFT BAR",,ACG_PACKER_DEV,Mfg Equipment Process,,103127481
