Item Number,New Packer,Ref Packer,Short Description,Comments
"=""0001""",100594977,100594977,SETTING SLEEVE,Cannot find the corresponding part
"=""0002""",103136512,101119467,UPPER MANDREL SUB,share the same drawing 100541391D
"=""0003""",103136514,101119468,MANDREL,share the same drawing 100249433D
"=""0004""",100598870,100598870,QMAX TORQUE,Qty changed from 6 to 6.0
"=""0005""",44000-114-00001,44000-114-00001,DOG POINT SLOTTED HEADLESS SHEAR,Qty changed from 6 to 6.0
"=""0006""",44000-011-00001,44000-011-00001,HEXAGON SOCKET SET SCREW,Qty changed from 4 to 4.0
"=""0007""",100155185,100155185,RATCHET RETAINER WASHER,Qty changed from 2 to 2.0
"=""0008""",100097068,100097068,RATCHET RING,Qty changed from 2 to 2.0
"=""0009""",100431906,100431906,UPPER GAUGE RING,Qty changed from 1 to 1.0
"=""0010""",100166843,100166843,ELEMENT ARRAY STACK,Qty changed from 1 to 1.0
"=""0011""",100431927,100431927,LOWER GAUGE RING,Qty changed from 1 to 1.0
"=""0012""",100147544,100147544,UPPER CONE,Qty changed from 1 to 1.0
"=""0013""",101088399,101088399,BARREL SLIP SHEAR,Qty changed from 8 to 8.0
"=""0014""",100151078,100151078,BARREL SLIP,Qty changed from 1 to 1.0
"=""0015""",100957754,100957754,BARREL SLIP SHEAR,Qty changed from 8 to 8.0
"=""0016""",100147559,100147559,LOWER CONE,Qty changed from 1 to 1.0
"=""0017""",103136516,101119469,TAIL HOUSING CONNECTOR,share the same drawing 100249432D
"=""0018""",100315553,100315553,UP RING,Qty changed from 4 to 4.0
"=""0019""",16965-351-07000,16965-351-07000,O-RING #351,Qty changed from 2 to 2.0
"=""0020""",103136517,101119470,COLLET,share the same drawing 100249434D
"=""0021""",44661-925-00001,44661-925-00001,PACKER SEAL TEST FIXTURE 000 IN BORE,"Qty changed from 0.0 to =""0.0"""
"=""0022""",103136518,101119471,RELEASE SLEEVE,share the same drawing 100249435D
"=""0023""",AP100-029-00001,AP100-029-00001,SHEAR SCREW,Qty changed from 10 to 10.0
"=""0024""",100147596,100147596,BOTTOM GAUGE RING,Qty changed from 1 to 1.0
"=""0026""",103136520,101119472,BOTTOM SUB,share the same drawing 100304618D
"=""0027""",100147616,100147616,UP,Qty changed from 1 to 1.0
"=""0029""",B015191,B015191,SCREW,Qty changed from 1 to 1.0
"=""0030""",18929-999-00019,18929-999-00019,CONTOURED BACK-UP RING (BORE SEAL) F/ O-RING #246,Qty changed from 2 to 2.0
"=""0031""",B036144,B036144,SCREW,Qty changed from 1 to 1.0
"=""0032""",100147860,100147860,SLIP KEY,Qty changed from 1 to 1.0
"=""0033""",16965-246-07000,16965-246-07000,O-RING #246,Qty changed from 1 to 1.0
"=""0034""",B022562,B022562,WASHER,Qty changed from 1 to 1.0
"=""0035""",B015017,B015017,NUT,Qty changed from 1 to 1.0
"=""0038""",100147649,100147649,SUPPORT WASHER,Qty changed from 1 to 1.0
8001,100154393,100154393,TOOL,"Qty changed from 0.0 to =""0.0"""
8002,100313898,100313898,DRIFT BAR,"Qty changed from 0.0 to =""0.0"""
8003,44661-925-00001,44661-925-00001,PACKER SEAL TEST FIXTURE 000 IN BORE,"Qty changed from 0.0 to =""0.0"""
