Level,Name,Type,Rev,Description,State,U of M,Qty,Item Number,Product Line,General Notes,Legacy Item Number,Project,Usage,Document Usage,
1,103118246,Part SLB,AA,"7 X 3-1/2 BluePack-MP-SPR (23-26), 718 (120), AFLAS (90-80-90), 3-1/2 (9.2) VAM TOP",Review,EA - Each,,,CP87,,,HV Completions - CPU,,,
2,102933679,Report Document,AA,"TEMPLATE, HYDRO TEST PLAN/REPORT FOR BLUEPACK-MP PACKERS",Released,,"=""0.0""",,CPVD,HYDRO TEST DOCUMENT,,CPS_COMPLETIONS,,Reference Document,
2,102811316,Instruction-Procedure,AB,"ASSEMBLY PROCEDURE, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Reference Document,
2,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,"=""0.0""",,CSAD,ENTIRE PART,,MatEng,,Reference Document,
2,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,
2,102929140,ProE Drawing,AA,7 X 3-1/2  BluePack MP (23-26),Released,,"=""0.0""",,CP8D,,,CPS_COMPLETIONS,,Described By,
2,102933869,Instruction-Procedure,AA,ASSEMBLY CHECKLIST PN 102931785,Released,,"=""0.0""",,CP8D,ASSEMBLY CHECKLIST,,CPS_COMPLETIONS,,Reference Document,
2,103127481,Part SLB,AA,"MANDREL, 7 X 3-1/2 BluePack MP (23-32), 718 (120), 3-1/2 (9.2) VAM TOP, 8 X 1/4 NPT",Review,EA - Each,1.0,"=""0001""",CP86,,,HV Completions - CPU,Uses,,
2,102722007,Part SLB,AB,"RING, UPPER GAGE, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,2.0,"=""0002""",CP86,,"=""002""",HV Completions - CPU,Uses,,
2,102036655,Part SLB,AB,"RING, ELEMENT BACK-UP, 7 BluePack ESP, PEEK",Released,EA - Each,2.0,"=""0003""",CP86,,"=""003""",HV Completions - CPU,Uses,,
2,102036636,Part SLB,AF,"RING, FOLD BACK, 7 BluePack ESP, 8620",Released,EA - Each,2.0,"=""0004""",CP86,,"=""004""",HV Completions - CPU,Uses,,
2,102036637,Part SLB,AC,"ELEMENT, END, 7 BluePack ESP (23-29), AFLAS (90)",Released,EA - Each,2.0,"=""0005""",CP86,,"=""005""",HV Completions - CPU,Uses,,
2,102036666,Part SLB,AC,"RING, SPACER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,2.0,"=""0006""",CP86,,"=""006""",HV Completions - CPU,Uses,,
2,102722005,Part SLB,AB,"RING, FILLER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0007""",CP86,,"=""007""",HV Completions - CPU,Uses,,
2,102722006,Part SLB,AB,"ELEMENT, CENTER, 7 BluePack ESP (23-29), AFLAS (80)",Released,EA - Each,1.0,"=""0008""",CP86,,"=""008""",HV Completions - CPU,Uses,,
2,102036657,Part SLB,AB,"RING, CONTOURED BACK-UP, #250 O-RING ROD SEAL, 5.176 X 4.953",Released,EA - Each,4.0,"=""0009""",CP86,,"=""009""",HV Completions - CPU,Uses,,
2,100443166,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 250, 4.984 ID X 0.139 W, AFLAS-90",Released,EA - Each,2.0,"=""0010""",WU35,,"=""010""",CoSeG-Seals,Uses,,
2,102036658,Part SLB,AB,"RING, CONTOURED BACK-UP, #251 O-RING BORE SEAL, 5.3985 X 5.1755",Released,EA - Each,8.0,"=""0011""",CP86,,"=""011""",HV Completions - CPU,Uses,,
2,100443167,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 251, 5.109 ID X 0.139 W, AFLAS-90",Released,EA - Each,4.0,"=""0012""",WU35,,"=""012""",CoSeG-Seals,Uses,,
2,102036640,Part SLB,AD,"PISTON, UPPER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0013""",CP86,,"=""013""",HV Completions - CPU,Uses,,
2,102710524,Part SLB,AC,"SCREW, SHEAR, 1/4-28 UNF-2A X 3/8 LONG, BRONZE, SHEAR VALUE=1640 +/- 5% LBS",Released,EA - Each,10.0,"=""0014""",CP86,,"=""014""",HV Completions - CPU,Uses,,
2,102036630,Part SLB,AB,"C-RING, 7 BluePack ESP, 41XX (80)",Released,EA - Each,2.0,"=""0015""",CP86,,"=""015""",HV Completions - CPU,Uses,,
2,102036629,Part SLB,AB,"PISTON, SECONDARY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0016""",CP86,,"=""016""",HV Completions - CPU,Uses,,
2,102036646,Part SLB,AB,"HOUSING, PISTON, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0017""",CP86,,"=""017""",HV Completions - CPU,Uses,,
2,B033671,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 3/16 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,12.0,"=""0018""",AF85,,"=""018""",CoSeG-Mech,Uses,,
2,102036659,Part SLB,AB,"RING, CONTOURED BACK-UP, #249 O-RING ROD SEAL, 5.0725 X 4.8495",Released,EA - Each,6.0,"=""0019""",CP86,,"=""019""",HV Completions - CPU,Uses,,
2,100443165,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 249, 4.859 ID X 0.139 W, AFLAS-90",Released,EA - Each,3.0,"=""0020""",WU35,,"=""020""",CoSeG-Seals,Uses,,
2,102036633,Part SLB,AB,"PISTON, TERTIARY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0021""",CP86,,"=""021""",HV Completions - CPU,Uses,,
2,102036641,Part SLB,AE,"PISTON, LOWER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0022""",CP86,,"=""022""",HV Completions - CPU,Uses,,
2,102946235,Part SLB,AB,"RING, BODY LOCK, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0023""",CP86,,,HV Completions - CPU,Uses,,
2,102036635,Part SLB,AC,"HOUSING, SECONDARY PISTON, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0024""",CP86,,"=""024""",HV Completions - CPU,Uses,,
2,B015283,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 1/4 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,1.0,"=""0025""",AF85,,"=""025""",CoSeG-Mech,Uses,,
2,102036650,Part SLB,AB,"COUPLER, HOUSING, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0026""",CP86,,"=""026""",HV Completions - CPU,Uses,,
2,102803951,Pin,AC,"PIN, COILED SPRING 1/8 X 5/16 CARBON STEEL HVY DUTY, SHEAR VALUE = 1200 +/- 200 LBS",Released,EA - Each,6.0,"=""0027""",CP86,,"=""027""",HV Completions - CPU,Uses,,
2,102946239,Part SLB,AB,"LOCK RING, SECONDARY BODY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0028""",CP86,,,HV Completions - CPU,Uses,,
2,102722002,Part SLB,AD,"HOUSING, SECONDARY BODY LOCK RING, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0029""",CP86,,"=""029""",HV Completions - CPU,Uses,,
2,102743365,Part SLB,AB,"CONE, UPPER, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0030""",CP86,,"=""030""",HV Completions - CPU,Uses,,
2,102036624,Part SLB,AC,"HOUSING, SLIP, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,1.0,"=""0031""",CP86,,"=""031""",HV Completions - CPU,Uses,,
2,102803955,Pin,AC,"PIN, COILED SPRING 5/32 X 7/16 CARBON STEEL HVY DUTY, SHEAR VALUE = 1700 +/- 200 LBS",Released,EA - Each,5.0,"=""0032""",CP86,,"=""032""",HV Completions - CPU,Uses,,
2,100511888,Screw Machine-Bolt,AB,"SCREW, SKT HD CAP 5/16-18 X 1/4 ALLOY STL/12.9  ASME B18.3",Released,EA - Each,10.0,"=""0033""",AF85,,"=""033""",CoSeG-Mech,Uses,,
2,102024260,Part SLB,AD,"SPRING, SLIP, 9-5/8 BluePack ESP, SST",Released,EA - Each,5.0,"=""0034""",CP86,,"=""034""",HV Completions - CPU,Uses,,
2,102036625,Part SLB,AB,"SLIP, 7 BluePack ESP (23-26), 8620",Released,EA - Each,5.0,"=""0035""",CP86,,"=""035""",HV Completions - CPU,Uses,,
2,102036623,Part SLB,AC,"CONE, LOWER, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0036""",CP86,,"=""036""",HV Completions - CPU,Uses,,
2,101884435,Screw Machine-Bolt,AD,"SCREW, SHEAR, 1/2-13 UNC - 2A X 5/8, BRONZE ALLOY, SHEAR VALUE (LBS) = 6,487 +/-10%",Released,EA - Each,12.0,"=""0037""",CP86,,"=""037""",HV Completions - CPU,Uses,,
2,102036648,Part SLB,AC,"RING, LOWER GAGE, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,1.0,"=""0038""",CP86,,"=""038""",HV Completions - CPU,Uses,,
2,102036649,Part SLB,AB,"RING, SPILT, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0039""",CP86,,"=""039""",HV Completions - CPU,Uses,,
2,102743352,Part SLB,AB,"RING, CONTOURED BACK-UP, #237 O-RING ROD SEAL, 3.5485 X 3.3255",Released,EA - Each,2.0,"=""0040""",CP86,,"=""040""",HV Completions - CPU,Uses,,
2,B034693,Seal-O-Ring-Quad-Ring-Etc.,AE,"O-RING, SZ 237, 3.359 ID X 0.139 W, AFLAS-90",Released,EA - Each,1.0,"=""0041""",WU35,,"=""041""",REDA_PUMPS,Uses,,
2,103127487,Part SLB,AA,"SUB, BOTTOM, 7 BluePack-MP-SPR (23-32), 718 (120), 3-1/2 (9.2) VAM TOP BOX, 8 X 1/4 NPT",Review,EA - Each,1.0,"=""0042""",CP86,,,HV Completions - CPU,Uses,,
2,B003797,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 3/8 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,1.0,"=""0043""",AF85,,"=""043""",CoSeG-Mech,Uses,,
2,44326-005-00001,Part SLB,AC,"FITTING,1/4 NMPT X 1/4 SWAGELOK (NO.SS-400-1-4BT)",Released,EA - Each,16.0,"=""0044""",CSA6,,"=""044""",ACG_PACKER_DEV,Uses,,
2,100261623,Part SLB,AC,"LINE, CONTROL, 1/4 OD X 96 L",Released,EA - Each,"=""0.0""",8001,CPH6,QTY. 1.0 REQUIRED FOR DRIFT TEST,,CPS_COMPLETIONS,Mfg Equipment Process,,
2,87808-700-00005,Part SLB,"=""01""","BAR, DRIFT, 2.867 X 42.0 L, 4130 (80)",Released,EA - Each,"=""0.0""",8002,CPA6,QTY 1.0 REQ'D FOR DRIFT TEST,,ACG_PACKER_DEV,Mfg Equipment Process,,
2,102008236,Part SLB,AB,"SPACER, BODY LOCK RING, 7 BluePack ESP, HDPE",Released,EA - Each,"=""0.0""",8003,CP86,"QTY 1, REQUIRED FOR ASSEMBLY",,HV Completions - CPU,Mfg Equipment Process,,
2,102743366,Part SLB,AB,"BAR, PISTON INSTALLATION, 7 BluePack ESP, DELRIN",Released,EA - Each,"=""0.0""",8004,CP86,"QTY 1, REQUIRED FOR ASSEMBLY",,HV Completions - CPU,Mfg Equipment Process,,
2,102722008,Part SLB,AB,"C-RING, ELEMENT INSTALLATION, 7 BluePack ESP, 41XX (80)",Released,EA - Each,"=""0.0""",8005,CP86,"QTY 2, REQUIRED FOR ASSEMBLY",,HV Completions - CPU,Mfg Equipment Process,,
2,102763903,Part SLB,AD,"CLAMP, ASSEMBLY HYDRO TEST, 7 BluePack ESP",Released,EA - Each,"=""0.0""",8006,CP87,QTY 1.0 REQ'D FOR HYDRO TEST,,HV Completions - CPU,Mfg Equipment Process,,
2,88801-350-00001,Part SLB,"=""00""","TEST PLUG, 3-1/2"" 9.2# VAM TOP",Released,EA - Each,"=""0.0""",8007,!TBD,"QTY 2.0, REQUIRED FOR FAT",,ACG_PACKER_DEV,Mfg Equipment Process,,
2,44326-005-00001,Part SLB,AC,"FITTING,1/4 NMPT X 1/4 SWAGELOK (NO.SS-400-1-4BT)",Released,EA - Each,"=""0.0""",8008,CSA6,QTY 1.0 REQ'D FOR HYDRO TEST,,ACG_PACKER_DEV,Mfg Equipment Process,,
2,101380130,Part SLB,AC,"PIPE PLUG 1/4"" MALE NPT, SS-4-P",Released,EA - Each,"=""0.0""",8009,CRH5,QTY 15.0 REQ'D FOR HYDRO TEST,,DIAM-LIBRARY,Mfg Equipment Process,,







